DATETIME,TOTAL_TX,TOTAL_FEE,AVG_TOTAL_FEE,TOTAL_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_USED,TOTAL_AVG_COMPUTE_UNITS_REQUESTED,TOTAL_AVG_COMPUTE_UNITS_PROPORTION,SUCCESSFUL_TX,SUCCESSFUL_FEE,AVG_SUCCESSFUL_FEE,SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_USED,AVG_SUCCESSFUL_COMPUTE_UNITS_REQUESTED,AVG_SUCCESSFUL_COMPUTE_UNITS_PROPORTION,FAILED_TX,FAILED_FEE,AVG_FAILED_FEE,FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_USED,AVG_FAILED_COMPUTE_UNITS_REQUESTED,AVG_FAILED_COMPUTE_UNITS_PROPORTION,SUCCESS_RATE,TOTAL_TPS,SUCCESFUL_TPS,FAILED_TPS
2022-05-01 01:00:00,535769,5.561255,1.0379949195e-05,54964943225,102590.749418,192393.2822674198,0.090974304777,132737,0.991035,7.466154878000001e-06,17311160939,130416.997062,190854.01604977157,0.114958179733,403032,4.57022,1.1339595863e-05,37653782286,93426.284479,192900.23352670437,0.083075310131,0.24775,148.824722,36.871389,111.953333
2022-05-01 02:00:00,322834,1.89925,5.883054449e-06,44122194060,136671.459821,188126.6135481243,0.130409003476,194844,1.25072,6.419083985e-06,25095426459,128797.532688,191640.57255797012,0.144760443952,127990,0.64853,5.067036487000001e-06,19026767601,148658.235807,182777.18133221366,0.108561264841,0.603542,89.676111,54.123333,35.552778
2022-05-01 03:00:00,376667,2.06444,5.480809309e-06,49657489640,131833.926625,188050.7648858019,0.143027580546,222772,1.29102,5.795252545e-06,28831972047,129423.680027,189766.9946089902,0.1684943877,153895,0.77342,5.025634361e-06,20825517593,135322.899334,185566.4221333142,0.106162889923,0.59143,104.629722,61.881111,42.748611
2022-05-01 04:00:00,435004,2.39806,5.512730917e-06,65617873437,150844.298988,188845.100241528,0.150716238018,275066,1.58053,5.746002778e-06,43434356570,157905.217548,190630.44292899928,0.171888913118,159938,0.81753,5.111543223e-06,22183516867,138700.72695,185774.6162310241,0.114302858775,0.63233,120.834444,76.407222,44.427222
2022-05-01 05:00:00,474120,2.58916,5.460980343e-06,69408028404,146393.378056,187320.78663016483,0.145221741253,298319,1.686795,5.6543331129999995e-06,42864700380,143687.463353,190612.00663178557,0.162254779337,175801,0.902365,5.132877515e-06,26543328024,150985.079857,181735.87266685694,0.116318157723,0.629206,131.7,82.866389,48.833611
2022-05-01 06:00:00,567270,3.18706,5.6182417539999995e-06,72521402334,127842.830282,187709.09260638797,0.128751552641,336179,1.933995,5.752872726e-06,37720516533,112203.666895,192174.4337273815,0.138353081499,231091,1.253065,5.422387716999999e-06,34800885801,150593.860432,181213.14982750657,0.114783754804,0.592626,157.575,93.383056,64.191944
2022-05-01 07:00:00,640514,3.71488,5.7998420020000005e-06,68610442348,107117.787196,189779.824594817,0.117118052306,366522,2.13112,5.814439515e-06,39248230190,107082.876853,192652.30255404892,0.126078096013,273992,1.58376,5.780314754e-06,29362212158,107164.487131,185937.28040895174,0.105132106951,0.572231,177.920556,101.811667,76.108889
2022-05-01 08:00:00,684578,3.97452,5.805795687e-06,72495984762,105898.794238,190176.01746065778,0.116570329334,400805,2.320835,5.7904342509999995e-06,43163506424,107692.035838,192694.7810100659,0.126211883293,283773,1.653685,5.827492397e-06,29332478338,103365.994432,186618.48018818814,0.102952462115,0.585477,190.160556,111.334722,78.825833
2022-05-01 09:00:00,661549,3.899435,5.894400868e-06,69293231672,104743.914165,189994.84284858016,0.116644187509,392420,2.28949,5.834284695e-06,40643661175,103571.839292,192571.18368340982,0.123093329292,269129,1.609945,5.982056932000001e-06,28649570497,106452.929625,186238.2515098398,0.107240621863,0.593184,183.763611,109.005556,74.758056
2022-05-01 10:00:00,685721,3.99494,5.825897121e-06,71942999476,104915.846935,189845.95237363162,0.117732681855,420973,2.454535,5.830623342e-06,43279798811,102808.965922,192440.13051632803,0.123050879834,264748,1.540405,5.818382009e-06,28663200665,108265.976192,185720.97709425143,0.109276271391,0.613913,190.478056,116.936944,73.541111
2022-05-01 11:00:00,714228,4.198555,5.878451979e-06,64897746512,90864.186943,191582.7877620411,0.109962323442,479280,2.8084,5.859622767e-06,45521451810,94978.826177,193078.2580241644,0.114767858862,234948,1.390155,5.916862455000001e-06,19376294702,82470.566687,188532.11702966434,0.100159315897,0.671046,198.396667,133.133333,65.263333
2022-05-01 12:00:00,711371,4.16538,5.85542565e-06,68077668178,95699.245792,191175.00837400663,0.109792418504,445420,2.627635,5.89922994e-06,42475042490,95359.531431,192855.33217758746,0.113394217106,265951,1.537745,5.7820613569999996e-06,25602625688,96268.206128,188360.7688013373,0.103760054898,0.626143,197.603056,123.727778,73.875278
2022-05-01 13:00:00,692698,4.056645,5.856296682999999e-06,72056587896,104023.092164,189633.92255613985,0.113538041294,441020,2.5835,5.858010975e-06,43605258770,98873.653735,192430.23738361156,0.115395929116,251678,1.473145,5.853292698999999e-06,28451329126,113046.548073,184733.88852371913,0.110282430207,0.63667,192.416111,122.505556,69.910556
2022-05-01 14:00:00,713375,4.160885,5.832675661000001e-06,77557468763,108719.073086,188939.39791120507,0.11792365927,439520,2.567715,5.842089097e-06,46642844497,106122.234476,191732.84854859667,0.121936783368,273855,1.59317,5.817567691e-06,30914624266,112886.835245,184456.0858513692,0.111482848243,0.616114,198.159722,122.088889,76.070833
2022-05-01 15:00:00,743530,4.306755,5.792308313e-06,77960982919,104852.504834,189320.3324337957,0.114142081613,487942,2.84822,5.837210159999999e-06,44203794093,90592.312392,192789.4639890892,0.113381311635,255588,1.458535,5.706586381e-06,33757188826,132076.579597,182697.42764423977,0.11559446445,0.656251,206.536111,135.539444,70.996667
2022-05-01 16:00:00,905531,5.278535,5.829215124e-06,93431300514,103178.467125,190104.54147521209,0.111033038802,571955,3.35921,5.873206808e-06,49907763296,87258.199152,193267.24546131174,0.110091465209,333576,1.919325,5.7537862439999995e-06,43523537218,130475.625399,184681.71621689122,0.112647476663,0.631624,251.536389,158.876389,92.66
2022-05-01 17:00:00,920941,5.30312,5.758371057e-06,96005733503,104247.431163,190334.88843716247,0.112566422549,584981,3.402775,5.816898327e-06,55853383837,95478.970833,192802.48166111665,0.113042662747,335960,1.900345,5.656462079e-06,40152349666,119515.268681,186038.26041078454,0.111737182557,0.635199,255.816944,162.494722,93.322222
2022-05-01 18:00:00,942432,5.40156,5.731511663000001e-06,89368276744,94827.29443,191239.55461587803,0.111230480887,633173,3.649395,5.763661748e-06,59108637427,93353.060581,193149.2644267361,0.11304500802,309259,1.752165,5.665687983e-06,30259639317,97845.622333,187329.63868757707,0.107515440782,0.67185,261.786667,175.881389,85.905278
2022-05-01 19:00:00,800994,4.760095,5.9427349020000005e-06,69770436046,87104.817322,191862.4149060036,0.109475099226,549158,3.185945,5.801508855e-06,48662188733,88612.364261,193306.5044682079,0.112448495273,251836,1.57415,6.250694897000001e-06,21108247313,83817.434017,188713.40787046865,0.102991259638,0.685596,222.498333,152.543889,69.954444
2022-05-01 20:00:00,838553,4.836725,5.7679419189999996e-06,82389365793,98251.828797,190609.4618162873,0.112817016194,563085,3.23372,5.742862978e-06,52951638417,94038.446091,193015.2074436446,0.115112681395,275468,1.603005,5.819205861e-06,29437727376,106864.417558,185691.86965828534,0.108124439778,0.671496,232.931389,156.4125,76.518889
2022-05-01 21:00:00,938928,5.33908,5.686357207e-06,90760386979,96663.841082,191162.92671850417,0.111121748359,636029,3.619695,5.6910848400000005e-06,57866252191,90980.524773,193315.4837340383,0.11411075185,302899,1.719385,5.676430097000001e-06,32894134788,108597.700184,186642.97555975761,0.104845422252,0.677399,260.813333,176.674722,84.138611
2022-05-01 22:00:00,919135,5.22495,5.684638274e-06,85399617484,92913.029625,191260.98028958467,0.111281693367,601717,3.41092,5.668644895e-06,54484041990,90547.619545,193443.02227811635,0.112608102813,317418,1.81403,5.714956304e-06,30915575494,97397.045832,187124.56786428642,0.108767270391,0.654656,255.315278,167.143611,88.171667
2022-05-01 23:00:00,928465,5.28587,5.6931279050000005e-06,92413374481,99533.503666,190742.3405437339,0.113038945198,609959,3.47053,5.68977587e-06,60054232437,98456.178919,193008.8974079508,0.115308752234,318506,1.81534,5.699547261e-06,32359142044,101596.648239,186401.74175331596,0.108692122126,0.656954,257.906944,169.433056,88.473889
2022-05-02 00:00:00,905637,5.174615,5.7137848830000006e-06,87530869305,96651.162999,190890.23116314397,0.11140917932,590930,3.383015,5.724899733999999e-06,57984857288,98124.747919,193091.82600274787,0.113345008885,314707,1.7916,5.692914362e-06,29546012017,93884.190746,186756.2638901976,0.107774243444,0.652502,251.565833,164.147222,87.418611
2022-05-02 01:00:00,950603,5.51937,5.8061777629999995e-06,84702806482,89104.291152,191548.34647305158,0.10702966766,593270,3.38808,5.710856777e-06,53885523301,90827.992821,193317.2833427567,0.113902745955,357333,2.13129,5.964436534000001e-06,30817283181,86242.477412,188611.42999265387,0.095618487724,0.624099,264.056389,164.797222,99.259167
2022-05-02 02:00:00,1078173,6.072385,5.63210635e-06,96052452570,89088.16356,192127.3635673562,0.108436489098,727549,4.108075,5.646458177e-06,62869721972,86413.041557,194064.39229150413,0.112373087306,350624,1.96431,5.602326139e-06,33182730598,94639.07376,188108.0057617722,0.100268000661,0.674798,299.4925,202.096944,97.395556
2022-05-02 03:00:00,1206414,6.848685,5.676894499e-06,113815177818,94341.724995,191298.07628467854,0.107889767191,790074,4.39733,5.56571916e-06,71044168515,89920.904263,193838.35842481386,0.114820575066,416340,2.451355,5.887868089e-06,42771009303,102730.963403,186477.4708382038,0.094737413105,0.654895,335.115,219.465,115.65
2022-05-02 04:00:00,1192190,6.685695,5.607910651999999e-06,111627433722,93632.251337,191339.63658731317,0.108493471039,777821,4.303685,5.533001809e-06,71760388009,92258.22909,193588.26180274086,0.114962955358,414369,2.38201,5.7485236590000005e-06,39867045713,96211.458176,187118.69362659662,0.096349462287,0.65243,331.163889,216.061389,115.1025
2022-05-02 05:00:00,1252900,7.020115,5.6030928249999995e-06,111641206302,89106.238568,192130.68117242647,0.105941647267,867028,4.800295,5.5364936310000006e-06,76755669055,88527.324441,193920.24190707423,0.112470480115,385872,2.21982,5.752736659e-06,34885537247,90407.01903,188109.66056289748,0.091271806268,0.692017,348.027778,240.841111,107.186667
2022-05-02 06:00:00,1189951,6.701575,5.631807528e-06,110007523626,92447.10381,191640.1405332599,0.107846723497,803286,4.45653,5.547874605e-06,72630183815,90416.344633,193690.94899406034,0.114354361751,386665,2.245045,5.8061758890000005e-06,37377339811,96665.950658,187379.64184513828,0.09432728237,0.675058,330.541944,223.135,107.406944
2022-05-02 07:00:00,1193724,6.67953,5.595539672e-06,107488957375,90045.066845,191577.55470084655,0.106795893771,792303,4.434985,5.597587034e-06,65514839078,82689.121558,193901.6824817587,0.111973685021,401421,2.244545,5.591498701000001e-06,41974118297,104563.832727,186990.3173286113,0.096576250203,0.663724,331.59,220.084167,111.505833
2022-05-02 08:00:00,1144901,6.47044,5.6515279490000005e-06,110597894555,96600.399995,190600.93329361166,0.112447405896,725419,4.05779,5.59371894e-06,65499015465,90291.28747,193358.34560131846,0.118606731561,419482,2.41265,5.751498276e-06,45098879090,107510.8803,185832.48249275642,0.101795955144,0.633608,318.028056,201.505278,116.522778
2022-05-02 09:00:00,1160034,6.56557,5.6598082469999995e-06,108558621616,93582.275706,191664.72058557536,0.111170443041,768311,4.297605,5.593574737e-06,72806743630,94762.073731,193595.8344664266,0.118907938442,391723,2.267965,5.789716203e-06,35751877986,91268.263508,187877.10526324122,0.095994405818,0.662318,322.231667,213.419722,108.811944
2022-05-02 10:00:00,1193923,6.742225,5.647118784e-06,117373671803,98309.247584,191089.95718025567,0.108981726127,770243,4.30962,5.595143350999999e-06,71313668962,92585.935818,193600.79557492808,0.114134868183,423680,2.432605,5.741609233e-06,46060002841,108714.130573,186525.2958848732,0.099613401929,0.645136,331.645278,213.956389,117.688889
2022-05-02 11:00:00,1146186,6.480125,5.65364173e-06,113896171463,99369.710905,190837.78445132417,0.11108228328,693612,3.871545,5.581715714e-06,65139223773,93913.057694,193258.47421310135,0.114805797798,452574,2.60858,5.763875079000001e-06,48756947690,107732.542501,187127.8509000248,0.105375648892,0.605148,318.385,192.67,125.715
2022-05-02 12:00:00,1147169,6.49736,5.663821111e-06,107796406642,93967.328826,191427.26762049063,0.109604390946,705512,3.92548,5.56401592e-06,66011281065,93565.071983,193413.21152006555,0.114280315916,441657,2.57188,5.823251981e-06,41785125577,94609.902202,188254.8798796037,0.102134971968,0.615003,318.658056,195.975556,122.6825
