game_id,pfr_game_id,season,week,game_type,team,opponent,pfr_player_name,pfr_player_id,carries,rushing_yards_before_contact,rushing_yards_before_contact_avg,rushing_yards_after_contact,rushing_yards_after_contact_avg,rushing_broken_tackles,receiving_broken_tackles
2022_01_DEN_SEA,202209120sea,2022,1,REG,DEN,SEA,Russell Wilson,WilsRu00,1.0,0.0,0.0,2.0,2.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Clyde Edwards-Helaire,EdwaCl00,8.0,17.0,2.1,57.0,7.1,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Jerick McKinnon,McKiJe00,4.0,9.0,2.3,3.0,0.8,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Patrick Mahomes,MahoPa00,2.0,-1.0,-0.5,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Isiah Pacheco,PachIs00,2.0,3.0,1.5,3.0,1.5,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Michael Burton,BurtMi00,1.0,4.0,4.0,2.0,2.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Mecole Hardman,HardMe00,1.0,-4.0,-4.0,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Clyde Edwards-Helaire,EdwaCl00,8.0,17.0,2.1,57.0,7.1,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Jerick McKinnon,McKiJe00,4.0,9.0,2.3,3.0,0.8,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Patrick Mahomes,MahoPa00,2.0,-1.0,-0.5,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Isiah Pacheco,PachIs00,2.0,3.0,1.5,3.0,1.5,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Michael Burton,BurtMi00,1.0,4.0,4.0,2.0,2.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Mecole Hardman,HardMe00,1.0,-4.0,-4.0,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Clyde Edwards-Helaire,EdwaCl00,8.0,17.0,2.1,57.0,7.1,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Jerick McKinnon,McKiJe00,4.0,9.0,2.3,3.0,0.8,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Patrick Mahomes,MahoPa00,2.0,-1.0,-0.5,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Isiah Pacheco,PachIs00,2.0,3.0,1.5,3.0,1.5,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Michael Burton,BurtMi00,1.0,4.0,4.0,2.0,2.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,KC,LAC,Mecole Hardman,HardMe00,1.0,-4.0,-4.0,0.0,0.0,0.0,
2022_02_LAC_KC,202209150kan,2022,2,REG,LAC,KC,Austin Ekeler,EkelAu00,14.0,18.0,1.3,21.0,1.5,0.0,
