player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0031428,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,5,7,65.0,1,0.0,0.0,67.0,15.0,4.0,3.860212297178805,0,1.7875457875457876,0.19163763066202089,0.2737813177395776,0.47910336841073564,0.0,12.5,17.5,2,0.09090909090909091,0.13729508196721313,0.06097560975609756,0.24619970193740687,0.126953125,0.25,0.13333333333333333,0.14705882352941177,0.1884765625,0.1515625,0.8441558441558441,0.10093436382512401
00-0031503,2022,REG,48,74,505.0,3,3.0,10.0,65.0,1,0,826.0,129.0,21.0,-15.271670659583169,1,1.3518486694290097,0.12112813621104393,3,11.0,0,0.0,0.0,0.0,-1.4456278276629746,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,29.299999999999997,29.299999999999997,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1703488372093023
00-0031544,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,12,16,118.0,1,0.0,0.0,151.0,37.0,8.0,6.055771824496333,0,1.4175685425685425,0.5703703703703704,0.959703582283236,1.5273480631538208,0.0,17.8,29.8,2,0.26229508196721313,0.4005305039787798,0.19072164948453607,0.7138670261338436,0.31382978723404253,0.5,0.36363636363636365,0.375,0.40691489361702127,0.35106382978723405,1.9344262295081966,0.17053908664301248
00-0031547,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,1,4,9.0,0,0.0,0.0,79.0,5.0,1.0,-9.868873429950327,0,0.34615384615384615,0.12549019607843137,0.25985663082437277,0.370134935694708,0.0,0.9,1.9,2,0.06153846153846154,0.13036303630363036,0.028901734104046242,0.19659812135059662,0.01935483870967742,0.0,0.05,0.045454545454545456,0.00967741935483871,0.015483870967741937,0.13846153846153847,0.013076393668272538
00-0031549,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,11,138.0,1,1.0,1.0,121.0,64.0,4.0,6.724005657104183,0,2.132664437012263,0.3431372549019608,0.40336106039088393,0.7970586246265599,0.0,17.8,26.8,2,0.16923076923076924,0.19966996699669967,0.3699421965317919,0.4135821274435136,0.2967741935483871,0.5,0.2,0.22727272727272727,0.39838709677419354,0.33741935483870966,2.123076923076923,0.18444597384721265
00-0031588,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,20,23,270.0,4,0.0,0.0,236.0,57.0,11.0,26.22554185948684,0,2.312615203126152,0.6492969396195203,0.8780588318885889,1.5885865917512927,0.0,51.0,71.0,2,0.323943661971831,0.4444444444444444,0.27014218009478674,0.8414710485133021,0.43973941368078173,0.5714285714285714,0.39285714285714285,0.42857142857142855,0.5055839925546766,0.46607724523033967,3.8028169014084505,0.31118513323983166
00-0031595,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,1,6.0,0,0.0,0.0,1.0,0.6562032722868025,0,1,1,2.0,0,0.0,0.0,-2.0,4.0,0.0,-0.5025235761422664,0,-1.0,0.029411764705882353,-0.00823045267489712,0.03835633018639554,0.0,0.8,1.8,1,0.02857142857142857,-0.008032128514056224,0.038834951456310676,0.03643144004589788,0.00851063829787234,0.0,0.0,0.0,0.00425531914893617,0.006808510638297873,0.05714285714285714,0.02088167053364269
00-0031610,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,10,14,129.0,1,0.0,0.0,149.0,39.0,7.0,-0.7564198761475787,0,1.7093829864914203,0.37655677655677655,0.5332618025751072,0.93811842663774,0.0,18.9,28.9,2,0.18421052631578946,0.259581881533101,0.14338235294117646,0.48398129470016504,0.23583180987202926,0.25,0.22580645161290322,0.22857142857142856,0.24291590493601461,0.2386654478976234,1.6973684210526316,0.17002000235321799
00-0031687,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,16,67.0,0,0.0,0.0,3.0,0.0045081027201376855,0,4,4,44.0,0,0.0,0.0,-3.0,47.0,3.0,2.7719883316894993,0,2.4000000000000004,0.09225806451612903,-0.006119847003824903,0.1341032038715161,0.0,11.100000000000001,15.100000000000001,2,0.04819277108433735,-0.004709576138147566,0.1390532544378698,0.06852149571598798,0.05953991880920163,0.0,0.08571428571428572,0.07142857142857142,0.029769959404600813,0.0476319350473613,0.5301204819277109,0.061997043849564795
00-0031690,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0,0.0,0.0,3.0,0.0,0.0,-0.40714303974527866,0,0.0,0.024390243902439025,0.01079136690647482,0.044139322688190916,0.0,0.0,0.0,1,0.023809523809523808,0.01090909090909091,0.0,0.04444155844155844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
